Band_Index,Combined_Importance,Undefined_Importance,Water_Importance,Non-Water_Importance,Raw_SHAP_Undefined,Raw_SHAP_Water,Raw_SHAP_Non-Water,Is_Selected,Rank
90,0.07482532364121589,0.020429220582102656,0.06350721919728786,0.09186933367031375,-0.00011965994898971738,-0.00018233933680812046,0.0002503140314250256,1,14
51,0.06892008750539136,0.007317419667527401,0.10814679833271679,0.03617786802942004,4.157279400833668e-05,0.00024007709033579654,-4.835497057872947e-05,1,15
84,0.06460837698623785,0.012088424034786167,0.047820028250462256,0.08692514182216626,5.206232297692714e-05,-0.00015190695439110246,0.00017435280800120394,1,16
82,0.06421931887045228,0.01990700355728126,0.03887317893223188,0.09422991305216437,-2.428855867710744e-05,-6.436453740084183e-05,0.00012295990574306165,1,17
88,0.06114776401538091,0.0020754200988019863,0.047438414590932274,0.08107525490473261,0.0001547305193965917,-0.00017107959560776854,0.00034377996743925485,1,18
55,0.060707002542648526,0.03210316709306391,0.11391285693816595,0.010512078194455807,0.00010899608963607063,0.00021021567324048965,-4.1511495230781096e-05,1,19
53,0.05974467614137312,0.05841526368842094,0.08708857564728106,0.032540714788407504,0.00012966000963938586,0.00011602808269884469,5.500052999957046e-06,1,20
57,0.05932818709251244,0.03358975131862371,0.08250076270281527,0.03886492051104001,-1.2921408263886232e-05,0.00012745552709348144,-0.0001311914748080492,1,21
94,0.053053044700496405,0.01671010024895819,0.04702271854757042,0.0629089439535843,7.670763131421569e-05,-9.691902512932738e-05,0.000238833684860848,1,22
47,0.04769281261106406,0.06621186288663591,0.04689924076321627,0.04653701074569376,-0.00015444334985028414,9.729586614997239e-05,-5.408377532387775e-05,1,23
52,0.04483193954411852,0.0123145178148988,0.08041414693958304,0.012672618646466604,2.841298703347402e-05,0.0001619259335148714,0.00016616198956156272,1,24
98,0.04479967174354811,0.012314104520131453,0.04260990997045323,0.05040896690858159,-3.750046204975214e-05,-0.00014853819482990054,0.00016603120996943165,1,25
99,0.04454312105631349,0.003166696102453776,0.04175182850364392,0.05168982676202091,6.396281661110221e-05,-0.00010105977667850114,0.00012234479412427985,1,26
78,0.04410228563742723,0.03934982667819439,0.022461832942910594,0.06624299716975784,8.605872350348657e-05,-5.097488429938119e-06,0.0002163619374889364,1,27
43,0.04362381981505016,0.05545772065017962,0.05094938248170297,0.035052583376278465,-0.00020685613719671544,0.0001379229323545478,-3.134661978640724e-05,1,28
75,0.04284616518850986,0.050713647834149306,0.030211159680991605,0.054653014628066064,-1.7888694261374087e-05,-0.00010656459825351389,0.00021601162653106908,1,29
80,0.04109951461829183,0.01476623467446246,0.01748590506343465,0.06748504837776265,2.1421353453332558e-05,-0.00016629001245798826,0.0003142720579835088,1,30
56,0.03532992946298294,0.0014662890653772817,0.035303319014640046,0.03892113363738959,4.176290934682741e-05,9.788418099765259e-05,1.0401661185690109e-05,1,31
44,0.03506561759248912,0.04331616689625784,0.0333498464099472,0.03591290990095014,-4.362048958436008e-05,-4.081535306526586e-05,-7.526009310645726e-05,1,32
76,0.034923443534943865,0.015144151035055335,0.028704013944880383,0.043224903914469294,1.814962214259073e-06,-0.00010048534188793616,1.3062185887996337e-05,1,33
48,0.03426209044231933,0.0013610657391623874,0.04546615001431352,0.026521296628552186,-3.863907604121444e-05,5.531939028879048e-05,-0.00011279381530737257,1,34
39,0.032987092651435894,0.046580310022997826,0.03883551247592479,0.0257078078404668,-0.00017494489904301447,0.00010807665346105682,-9.084181190325668e-05,1,35
49,0.03153804906408439,0.030947903398680237,0.010637557738663381,0.05250066098586373,-4.839112864802868e-05,9.539310659978377e-05,-0.0001528936679722318,1,36
